director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
LP,Anna Camp,Robbie Amell,Nasim Pedrad,Comedy Romance,desperados,Anna Camp Robbie Amell Nasim Pedrad LP Comedy Romance
Gina Prince-Bythewood,Charlize Theron,KiKi Layne,Marwan Kenzari,Action Fantasy,the old guard,Charlize Theron KiKi Layne Marwan Kenzari Gina Prince-Bythewood Action Fantasy
Andrew Lawrence,Adam Copeland,Kelsey Grammer,Thomas Jane,Action Crime,money plane,Adam Copeland Kelsey Grammer Thomas Jane Andrew Lawrence Action Crime
Aaron Schneider,Tom Hanks,Stephen Graham,Rob Morgan,War Action Drama,greyhound,Tom Hanks Stephen Graham Rob Morgan Aaron Schneider War Action Drama
Max Barbakow,Andy Samberg,Cristin Milioti,Peter Gallagher,Comedy Romance Science Fiction,palm springs,Andy Samberg Cristin Milioti Peter Gallagher Max Barbakow Comedy Romance Science Fiction
Peter Sullivan,Nia Long,Omar Epps,Stephen Bishop,Thriller,fatal affair,Nia Long Omar Epps Stephen Bishop Peter Sullivan Thriller
Robin Pront,Annabelle Wallis,Hero Fiennes-Tiffin,Nikolaj Coster-Waldau,Action Thriller,the silencing,Annabelle Wallis Hero Fiennes-Tiffin Nikolaj Coster-Waldau Robin Pront Action Thriller
The Brothers Riedell,Lucy Hale,Leonidas Gulaptis,Jackie Cruz,Comedy Romance,a nice girl like you,Lucy Hale Leonidas Gulaptis Jackie Cruz The Brothers Riedell Comedy Romance
Eric Bress,Brenton Thwaites,Theo Rossi,Skylar Astin,Horror Thriller War Fantasy,ghosts of war,Brenton Thwaites Theo Rossi Skylar Astin Eric Bress Horror Thriller War Fantasy
"Scott Christian Sava, Tony Bancroft",John Krasinski,Emily Blunt,Ian McKellen,Comedy Animation Adventure,animal crackers,"John Krasinski Emily Blunt Ian McKellen Scott Christian Sava, Tony Bancroft Comedy Animation Adventure"
Vince Marcello,Joey King,Joel Courtney,Jacob Elordi,Comedy Romance,the kissing booth 2,Joey King Joel Courtney Jacob Elordi Vince Marcello Comedy Romance
Dave Franco,Dan Stevens,Alison Brie,Sheila Vand,Horror,the rental,Dan Stevens Alison Brie Sheila Vand Dave Franco Horror
John Pogue,Tania Raymonde,Nathaniel Buzolic,Emerson Brooks,Action Horror Science Fiction,deep blue sea 3,Tania Raymonde Nathaniel Buzolic Emerson Brooks John Pogue Action Horror Science Fiction
Andy Tennant,Katie Holmes,Josh Lucas,Jerry O'Connell,Drama Romance,the secret: dare to dream,Katie Holmes Josh Lucas Jerry O'Connell Andy Tennant Drama Romance
Jessica Swale,Gemma Arterton,Gugu Mbatha-Raw,Penelope Wilton,Drama War Romance,summerland,Gemma Arterton Gugu Mbatha-Raw Penelope Wilton Jessica Swale Drama War Romance
Amy Seimetz,Kate Lyn Sheil,Jane Adams,Kentucker Audley,Drama,she dies tomorrow,Kate Lyn Sheil Jane Adams Kentucker Audley Amy Seimetz Drama
